,image_id,question,answer
68933,150559,What is the color on the bicycle?,yellow
142646,433607,Where are the windows?,right
144093,241407,How many stories does that house have?,3
285923,344632,How many children are sitting at the table?,3
143390,114829,How many arches are visible on the bridge?,5
65584,542881,What is the color of the person's Jersey?,gray
23706,556954,What color are the glasses?,brown
194910,186056,What kind of restaurant is this?,pizza
81478,23000,What sport is the athlete participating in?,tennis
412609,252576,What color pants is she wearing?,gray
265591,405906,What sport are these guys playing?,baseball
280065,473776,What sport is being played?,baseball
317157,517755,Is the man outside?,no
328804,496509,Are the people drinking alcohol?,no
140476,39758,What kind of table is the pizza on?,wood
143427,40606,What are these men playing?,frisbee
100401,135794,Which hand is holding the bat?,left
383276,499309,What kind of flooring does the room have?,wood
391036,508053,Which hand is the woman holding the racket in?,left
32936,271505,How many bicycles are there?,5
239242,68053,How many people are sitting in folding chairs?,2
57422,147290,What is the fan made out of?,wood
333302,359005,What color is the backpack on the ground?,gray
227333,457800,What color is her coat?,pink
142169,302399,What type of kitchen counter are the doughnuts in the bowl on?,wood
22193,268472,What sport is this?,baseball
54124,395761,What is the computer sitting on?,wood
205221,250708,What color is the animal?,brown
91451,156895,What direction is the plane going?,left
147671,434986,What color are her pants?,gray
219407,115829,What is the man carrying?,pizza
370164,239307,What color is the man's hair?,brown
78355,484281,What is she making?,pizza
438854,129568,What sport is this?,tennis
7215,395326,What color is the person's shirt?,pink
385404,113026,What game is this?,baseball
414014,515196,What's the first color we see in the wall?,yellow
304546,88117,What is the floor made of?,wood
274137,78781,What game do the people play?,frisbee
129409,429735,What is the desktop made from?,wood
379178,111010,How many street lights are there?,5
224244,456936,Which person is more determined?,left
47672,24091,How many times has each one of the bikes been rode?,5
19792,529954,Is the surfer standing?,yes
225092,195058,What is the main color in the area rug?,brown
300914,218147,What kind of food is this?,pizza
122946,428019,Which hand does this batter write with?,left
432470,126457,What color is the engine of the train?,yellow
294208,216091,What sort of work environment would you call this?,kitchen
373160,240196,What color is the man's suit?,black
324535,94127,What color is the sofa?,gray
297498,348202,What color is the man's shirt?,gray
217823,192827,Is the landing gear down?,no
951,131366,What are the ladies doing?,tennis
404183,512088,What kind of room is this?,kitchen
234716,347019,Where is the black and blue bike?,left
191772,578369,How many people?,3
120050,296093,Which sport is this?,frisbee
286686,187351,What color is the ear tag?,yellow
35739,141236,What colors make up the girl's hat?,pink
142980,433704,What game is being played?,baseball
52816,539167,Is the man right or left hand dominant?,right
138677,356066,What game are they playing?,tennis
37256,10566,How many street signs can you spot?,5
290482,346062,What game is this girl playing?,tennis
49906,170309,What color  is the middle suitcase?,black
219146,42680,What are the blue stools made of?,wood
261663,143569,How many Brown Street signs do you see?,5
109611,555282,What sport is being played?,baseball
285546,82381,What color are the flowers?,orange
186064,52497,Which room of the house is this?,kitchen
384408,112692,What is the primary stripe color of the surfboard?,orange
188889,446500,Is the weather good?,no
102364,553192,How many pillows are there?,5
161551,176736,How many umbrellas are rainbow?,3
118410,224034,How many stories is the building on the right?,3
337517,360277,What color is the orange?,orange
60127,279129,What sport is this?,baseball
25716,400593,What color is the vehicle featured in this picture?,gray
368127,107620,What color is the suitcase?,black
205126,451160,How many people are in the picture?,5
326,393306,Which hand is the man holding up?,left
121748,165488,Is it raining?,no
399230,379434,What is the boy doing?,frisbee
228028,64799,What color is the woman's shirt?,gray
229073,491448,What room in a house is pictured?,kitchen
328109,226354,What is the color of the object on the ground?,orange
154713,436947,What color is the animal?,brown
63145,221427,What is the floor made of?,wood
212393,294008,How many giraffes are there?,5
392035,172105,What color are the lady's eyes?,brown
396552,247521,Is he about to swing to his left or his right?,left
71276,20172,Where is the train heading?,right
90090,397455,What hand is holding the bat?,left
431900,258544,What game is the man playing?,baseball
137252,28318,What are they playing?,frisbee
314150,222107,What color is the sunset?,orange
67669,281327,Is this couple cold?,no
7114,395292,What are they eating?,pizza
247050,252043,What color is the wood floor?,gray
269765,339674,What is the first boy carrying?,frisbee
372719,371157,What color are the scissors?,black
120569,34128,What color is the frosting?,pink
164283,46371,Is this an old picture?,no
31797,402245,How many of the horses are not white?,5
181269,444409,What is the man eating?,pizza
185791,192631,Which fruit is shown here?,orange
157703,437745,What color is the man's head?,brown
353567,365319,How many windows are on this side of the plane?,5
226649,64377,How many horses are in the field?,5
169038,440931,What color is his jacket?,gray
185586,183427,How many pizzas are on the table?,2
382667,505309,What room is the boy in?,kitchen
347997,101467,What color is her dress?,black
318767,223420,What color is the pole?,gray
407106,119714,What are they eating?,pizza
397395,347131,What is the girl eating?,pizza
360828,432622,What color are the lamps?,orange
90794,49053,How many pizzas are there?,5
277948,211029,What color is the woman's dress?,pink
53092,539247,How many people are there?,3
260172,115959,What color undershirt is he wearing?,black
313689,484113,What kind of shot is this man hitting?,tennis
389258,507471,Which hand is higher than the other?,left
65205,542751,What is  the color of tree?,brown
416382,384883,What color is the bow on the bear?,pink
408524,120179,What event is this?,baseball
351000,38905,Which side of the road  is the bus on?,left
245870,332276,What sport is he playing?,tennis
259956,336621,What color is the fruits?,orange
66274,412009,Is the cake angel food?,no
321098,355210,What kind of room is this?,kitchen
30046,438331,How many people are on the scooter?,3
57695,221169,What direction is the dog looking?,left
165232,439859,How many pieces of fruit are in the image?,6
291968,84341,What color are the skateboarders shoes?,black
426592,256936,How many candles are on the food?,2
282193,474472,How many drinks are on the desk?,3
69570,19675,What color is the animal?,orange
431573,389491,What color is the bus?,yellow
98802,552204,What is the skin color of this man pictured here?,brown
277156,472938,What color is the window frame?,brown
170651,572478,Where is the sink located?,kitchen
150111,389855,What hand is holding the banana?,right
443487,393129,What number of red flowers are there?,5
441518,349408,What color are the baby buffalo?,brown
69081,543817,What sport is the person playing?,tennis
59623,147934,Is this a car?,no
77893,546285,What color is the frisbee the woman is holding?,orange
429466,388852,What is being eaten?,pizza
389431,376454,Does this fruit look weird?,yes
348482,363764,What color hats do the tennis players have?,pink
340139,230046,What hand is the man on the left carrying his bag with?,right
306150,350701,Could the time be 5:55 AM?,no
46440,275276,Is this zebra in the wild?,no
340575,497113,What color is the man's shirt?,gray
310183,357613,What is under the man's eyes?,black
26044,138536,How would the counter be described?,wood
80672,547052,How many red cones are in the picture?,6
150993,173749,What sport is she playing?,tennis
203623,319644,What game is this?,baseball
161753,569996,Is the girl trying to hit the ball?,no
166693,571372,What color is the foreground fruit?,orange
46465,537422,Where is this displayed?,kitchen
170615,179245,What sport are they playing?,tennis
235788,67077,What sport is he virtually playing?,baseball
119765,558153,What is the fence made of?,wood
389629,376524,How many humans are shown?,6
357956,104510,What color is this cat?,gray
283361,144683,What color is the fruit?,orange
38390,141941,What are they having for dinner?,pizza
47342,406595,What color is the truck?,orange
279236,342459,What are the people in the bleachers watching?,baseball
372928,109060,Can you see clouds in the sky?,yes
245340,332115,How many toothbrushes are on the counter?,3
415572,384595,What sport is this?,baseball
60254,155754,What is the floor covered with?,wood
357692,104444,What is the bench made of?,wood
303018,87671,What color is the women's vest?,black
270769,471056,How many giraffes are there?,3
243738,69461,How many animals in this photo?,5
279650,473658,What is the man catching?,frisbee
80969,528097,What is in the picture?,pizza
186496,576895,What sport is being played?,baseball
189382,315555,What color is the raft the dogs are on?,yellow
92563,271469,How many buildings are there?,6
235624,198085,What side of the picture is the water on?,right
355285,496902,How many pictures are on the wall?,2
53082,539247,Where are the people playing?,frisbee
250669,464898,What type of flowers are these?,pink
370843,239504,What room of the house is this?,kitchen
294373,516620,What color shoes does the baby have on?,pink
248240,273951,How many people are these?,3
433984,392725,How many people?,3
350025,495269,How many layers are there?,5
389726,114424,What sport is this?,tennis
435141,521678,Which giraffe is taller?,right
327211,357108,What color is in the background of this photo?,gray
328749,488676,What are these woman playing?,frisbee
381274,373792,What color is the green?,brown
417806,522968,How many animals are in this picture?,6
178317,443607,What color are the trees?,brown
141482,40065,What color are the suitcases?,brown
187316,577107,What color are the tiles on the floor?,gray
37033,154667,What color is the surfboard?,yellow
246103,186461,Which hand holds the line?,right
159031,438145,What sport is the boy playing?,baseball
266583,491372,How many fruits are in the bowl?,6
35734,141236,What color is the lady's headband?,pink
134803,38123,What color is the girls shirt?,pink
190810,315994,How many electronic devices are on the desk?,3
292290,491638,What color is the man's shirt?,gray
173286,48908,What is the counter made of?,wood
96653,27282,What color is the chair in the back?,black
171007,466800,What is the floor made of?,wood
124433,166297,Which end is the pointy end of the surfboard?,left
65054,411624,What color is the box?,orange
236811,329558,What color is the train on the right painted?,gray
241536,330916,What room is this?,kitchen
308419,351384,Can you see the photographer in this picture?,yes
49917,145192,Is the cat white?,no
372193,108859,What room is this?,kitchen
51265,145614,Are the lights on?,yes
401987,478445,What color are the player's shorts?,orange
42719,143158,How many people are there total?,5
163526,439392,What is the man playing?,baseball
46167,406275,What color are the birds eyes?,black
123680,530124,What is the young boy doing?,baseball
159695,307249,Are these two men wearing similar clothes?,yes
111716,136346,On what side on the bus is the driver?,right
309385,351686,How many bananas are in the picture?,2
373760,240407,How many tracks can be seen?,3
376867,241372,Do these animals eat food from the ground level?,no
166897,309285,In which hand is the white cup?,right
40882,142637,How many hats do you see?,3
189298,53374,What color are the seats on the bus?,black
53924,111760,How many pots are filled with red flowers?,6
272247,78286,Is this a traffic light for bikes?,yes
297133,217007,What is the chair made out of?,wood
51218,538817,What is being thrown?,frisbee
171214,310502,What color is the pole?,brown
328530,95381,What type of floor is in the photo?,wood
290647,83979,What color are the birds?,brown
437535,113415,Are these dairy cows?,yes
224177,325856,How many types of animals are walking in the road?,2
52630,145896,How many clock hands are there?,2
47159,406550,Why is the person eating from a paper plate?,pizza
59789,147973,How many black umbrellas?,5
41611,436844,What is the color of the man's suit?,gray
405923,119337,What color is everyone wearing?,black
121820,284794,What color is the spiraled object?,yellow
232985,66246,What sport is the man playing?,baseball
15414,266557,How many buses are shown?,2
82921,547726,What game is this?,baseball
178948,312718,What room is shown here?,kitchen
258163,204979,How many electronic items are pictured?,3
416605,30276,What color is the scissors?,orange
439052,129631,What color vest is the rider wearing?,gray
107158,292440,What color is her dress?,pink
375336,43895,What color is the floor?,brown
193156,578748,Which direction is the arrow pointing for skaters?,left
51093,14483,What kind of fruit is in the picture?,orange
241308,461915,Which sport is this?,frisbee
22194,268472,What sport is he playing?,baseball
328751,488676,What color is the man in the background's cleats?,black
394205,509036,Are there any humans on the beach?,no
159914,307299,What kind of counter is pictured?,kitchen
117657,164348,How many circle pictures are on the wall?,5
194108,579000,How many animals?,5
275091,472293,What kind of cargo is the truck carrying?,wood
132442,430665,Can the balcony's be used to sit outside?,yes
273215,78548,What color is the motorcycle?,orange
254369,334858,Which man is taller?,left
257031,466730,How many motorcycles are there?,5
338032,217135,What is the material used on the walls of the house?,wood
229875,327448,Where is the doorway?,left
209513,190378,What is on the big plate?,pizza
199081,187287,Is this man vomiting?,no
387174,113594,What color are the man's jeans?,brown
98973,552254,What sport is being played?,tennis
127313,115226,What color are the umbrellas?,black
344085,431764,What color is the first car?,yellow
215581,61072,What color is the wall?,yellow
270342,339849,What is this room?,kitchen
264232,75726,How many candles are there?,5
273576,394480,What color is the boys hair?,brown
83931,389232,Was this picture taken during the winter?,no
427698,388318,Which way is the person leaning?,left
31176,8872,What is the man playing?,tennis
14592,475735,What is in the man's right hand?,frisbee
405892,381476,Which arm does the man have raised?,left
196271,579713,What color is her shirt?,gray
44948,536969,What sport are the men playing?,baseball
326809,105399,What sport is the man playing?,tennis
428462,126413,How many engines are on this plane?,2
66369,412034,What color is the man outfit in parking lot?,gray
369073,107884,What color is the van?,yellow
434305,217978,What color is the flower pot?,orange
185173,314385,What game is he playing?,tennis
201645,581233,What color is the sheep?,black
47534,275583,What color is the train?,gray
88250,297617,How many horses are there?,2
360994,498639,What is the door made of?,wood
435758,128647,What room are they in?,kitchen
341257,492535,What are the kids doing?,frisbee
380191,111330,On what side of the road is this bus driving?,right
116831,557342,What colors are the kite's tails?,pink
394130,509018,How many heart shapes are in this picture?,2
112867,31948,What color is the train?,gray
82762,416604,How many layers are there?,2
329502,95659,What sport is this?,tennis
213191,322499,Is there a religious symbol on the bottom of the skateboard?,yes
443610,393169,What is the bench made of?,wood
282352,81307,How many pairs of shoes are under the bed?,3
32820,402542,How many kinds of flower are in the vase?,2
103146,237467,Which guy is talking on the phone?,left
233401,328500,What is the color on the elephant?,gray
849,524557,Where is number 8?,left
329657,357865,What color are the towels?,brown
41896,375425,How many panes are in the window?,6
157189,44414,What color is the man's hair?,brown
379414,294549,How many electronics are on this desk?,5
168258,49592,Which leg supports the bicycle?,left
50823,276564,Does the man featured in the picture have his feet on the ground?,no
98937,68996,What direction is the giraffe's head facing?,right
433293,521117,How many different colors are the hydrants?,2
299479,217700,What kind of store is this?,pizza
200548,56650,What are the kids playing?,frisbee
48519,284150,What is the kids about to play?,tennis
363219,499294,How many windows are visible?,6
242827,462395,What is this room?,kitchen
218271,324006,Will he hit the ball?,yes
229243,482751,What are they playing?,frisbee
198987,163358,What color are her sneakers?,pink
179972,181906,How many balls can you see on the tennis racket?,3
113035,294159,What is the snack is on the table?,pizza
294304,478262,What is the color of the grass?,brown
179165,312760,How many vehicles are there?,6
266147,469545,How many shoes are visible?,6
94765,26746,What is the color of the visor?,orange
170380,572401,What do we call this league?,frisbee
39339,404351,What color is the train?,gray
302516,480745,What color is the cat?,gray
303663,481057,Does one plate contain a dozen desserts?,yes
14856,135344,What color is the woman's backpack?,gray
199171,580541,How many spoons are on this plate?,2
367617,369596,What is the color of the floor?,brown
296885,216925,How many roses are on the table?,3
91574,287998,What color are the fruits?,orange
30641,533011,How many bananas are in the bunch?,6
79616,415663,How many windows below the clock face?,6
244783,331904,Is the train leaving the station?,no
44944,198721,What kind of floor is in the picture?,wood
362558,105863,What color is the umbrella?,pink
278276,473254,What is on the plate?,pizza
256971,466723,What color jacket is the person wearing the pink pants have on?,black
379739,504396,What room is this?,kitchen
103187,160232,Where are the stairs?,left
280538,473928,What sport are these people playing?,baseball
60980,541505,What color is the vase?,yellow
340336,99030,What room is this?,kitchen
280916,220917,What material is the table made of?,wood
118573,557811,What sport is this?,tennis
199111,56226,How many suitcases are on top of each other?,6
44467,274682,Is there a wall-to-wall carpet on the floor?,yes
13419,134937,What game are they playing?,frisbee
272192,471480,What color is the ball?,yellow
206677,189561,What color is the first umbrella in the picture?,yellow
77142,152871,Is the child falling asleep?,no
331297,212648,What color is the bus?,black
98929,376029,What does the dog have in his mouth?,frisbee
120602,296281,How many slices of pizza are there?,6
227732,64708,What kind of flooring is pictured?,wood
41184,11658,How many boats are there?,2
434933,305427,How many rows of donuts are there?,3
342491,230777,What direction is the skateboard facing?,left
16162,528912,What is the material he is leaning against?,wood
255256,335144,What color are the umbrellas on the tables?,yellow
124363,354631,What color is the elephant?,gray
374053,470647,Is this indoors?,no
106976,157958,Which direction do you have to go?,left
290814,84034,What color is this rose?,pink
92604,550394,What color is the cat?,black
180819,30357,What room is this?,kitchen
147695,434986,What are the people doing?,frisbee
93431,288504,How many vases are there?,2
347834,232490,What color paint is on the outside wall?,brown
232839,290262,What is the floor made out of?,wood
415732,515719,Do these animals eat meat?,yes
208104,321013,Which house is for sale?,right
177975,443519,Which arm is higher than the other?,left
194379,316942,How many pots are there?,5
221923,194027,What is the color of the girls pants?,pink
282340,485265,How many people can be seen?,2
17767,5083,What is the number on the shirt of the person in the lead?,6
167262,440460,Which arm has a watch?,right
74786,21143,Which arm of the boy is lowered? right or left?,left
134556,38053,What is the bench made of?,wood
267627,514283,What are the going to eat?,pizza
264664,469080,Is there a door on the building?,no
3206,386700,How many skyscrapers are there?,3
59596,16857,Which way is the wind blowing?,left
263436,212011,What color is the road sign?,black
308652,89322,On what side of the picture is the toilet?,right
402501,118329,What is the round thing?,orange
323698,356029,How many yellow umbrellas are standing?,5
353207,38370,How many people are around the table?,5
262289,337321,What room is this?,kitchen
27768,532239,What is the table constructed of?,wood
335546,359656,How many handles does the drawer have?,3
357597,235479,What game is the woman playing?,frisbee
379270,477258,Are the toys valuable?,no
74481,21048,What color of freebie is the dog holding?,orange
53489,539359,Is the zebra's tail up?,yes
442501,130685,Where is the yellow sign?,left
79816,153601,What color is the Frisbee?,pink
267514,469975,What is the main color of the bus?,yellow
298760,217463,How many people are in the picture?,3
69034,281656,What color is the building?,gray
86694,286632,What color is the man's bike?,black
342530,191382,How many people are wearing shoes?,6
345547,103737,Does he have red shoestrings?,no
130945,299154,What hand is the woman holding up?,right
22357,268516,Is anyone not wearing a tie?,no
170595,466890,What hand is holding the cup?,right
330243,256284,What color are the tags?,yellow
433112,127856,How many players are in the picture?,6
52097,218715,What color is the umbrella?,pink
279933,342683,How many horses are standing?,2
132717,372234,What color is the front of the train?,yellow
278906,473438,Where are the carrots?,left
29215,532638,Is the food good?,yes
146525,430615,What color is the man's cap?,black
110339,555494,What is this food?,pizza
165625,182556,What is the adult throwing?,frisbee
115508,573431,Which door dispenses water?,left
145844,434526,What are the people doing?,frisbee
166810,571407,How many controllers are being held?,2
370821,108429,How many different foods are on the plate?,5
280396,342808,What color are the lines on the giraffe?,brown
398213,510211,What sport is this man doing?,tennis
172622,357649,What kind of food is this?,pizza
53656,146186,Which room is this?,kitchen
190564,578063,What material makes up the tabletop?,wood
409222,251493,What sport is being played?,tennis
306369,379545,What is mainly featured?,kitchen
187449,446069,How many elephants are in this picture?,6
210,458763,What is the table made of?,wood
299958,208022,What is the ethnicity of the people?,black
245428,201073,Which way is the plane angled?,right
94210,550875,What is the dig playing with?,frisbee
80520,284867,What hand would the person operating this computer use to operate the mouse?,right
72460,151581,What color is the frisbee?,orange
64380,149280,Is it getting dark?,yes
395548,116166,What color is the woman's bag?,black
389163,521480,Does the bear have a fish in it's mouth?,no
74942,414416,Which way is the arrow pointing?,left
197475,580051,What do you see through the door?,kitchen
16869,266976,What room of a house is this?,kitchen
99558,552406,What is the fence made from?,wood
216507,323553,How many different vegetables are here?,3
284212,344065,How many bottles of orange soda appear in this picture?,6
289583,83635,What color is the man's pants?,gray
406807,512844,What sport is this?,baseball
224482,325936,How many remotes are on the table?,5
495,284012,How many men are playing baseball?,5
402180,249290,What color is the cat in this picture?,orange
40932,11576,Are these people trying to cross the road?,yes
64568,30401,What is the accent color used in this room?,orange
301911,349521,What color is of the jacket?,orange
16866,266976,How many cabinet doors are there?,6
238640,461114,How old is the baby?,3
430558,127067,What color is the graffiti on the side?,yellow
75148,21254,How many of the donuts pictured have holes?,6
273201,78546,What is this room?,kitchen
195520,193333,What color is his shorts?,orange
420423,123921,Is there a mirror?,no
57264,540457,What sport are they doing?,baseball
334544,359363,What is she taking out of the oven?,pizza
297883,479372,What color are the stairs?,brown
5150,1501,Is it cloudy out?,yes
196081,317500,What sport is being played?,tennis
329053,488750,What sporting event is this?,tennis
195433,579437,Is this room very clean?,no
95659,27002,What color is the motorbike?,black
440963,261266,How many boats are in the picture?,3
141749,433366,What color are the pillows?,brown
274953,79035,Where in the house is this room?,kitchen
425241,239365,What is the floor made of?,wood
437299,331524,How many faces are looking out the windows of the bus?,2
173041,335824,What color are the pants of the guy on the left?,yellow
310613,220972,What game are the men playing?,tennis
350957,301046,Is there any plates on the table?,yes
47568,275591,What color is the phone?,black
193466,533377,What is the color of the first pole on you left?,brown
431606,520582,How many buses do you see?,6
40770,404740,What is the fence made out of?,wood
56760,540326,What color are the walls?,orange
72842,20611,What color is the second person's helmet?,gray
215503,192118,What is the flooring material?,wood
214211,453866,What color is the wall?,yellow
400213,510813,What sport is being played?,baseball
13075,393845,What color is his hair?,brown
